time,/cells[0]/CellGroup_1_0[0]/Comp_1_0[0]
0.0107,-0.0740628087147
0.0108,-0.0740446640162
0.0109,-0.0740265369841
0.011,-0.0740084199117
0.0111,-0.0739903588485
0.0112,-0.0739723369666
0.0113,-0.0739543481236
0.0114,-0.0739364078855
0.0115,-0.0739185103024
0.0116,-0.0739006668181
0.0117,-0.0738828743207
0.0118,-0.0738651378533
0.0119,-0.0738474532338
0.012,-0.0738298388421
0.0121,-0.0738122819977
0.0122,-0.0737948174267
0.0123,-0.073777402414
0.0124,-0.0737600651693
0.0125,-0.0737428046852
0.0126,-0.0737256221732
0.0127,-0.0737085181444
0.0128,-0.0736914992344
0.0129,-0.073674576406
0.013,-0.0736577330316
0.0131,-0.0736409765325
0.0132,-0.0736243119208
0.0133,-0.0736077600669
0.0134,-0.0735913149777
0.0135,-0.0735749709078
0.0136,-0.0735587096757
0.0137,-0.0735425571763
0.0138,-0.0735265028086
0.0139,-0.0735105488878
0.014,-0.0734947112772
0.0141,-0.0734789839499
0.0142,-0.0734633565223
0.0143,-0.0734478446696
0.0144,-0.0734324321433
0.0145,-0.0734171293648
0.0146,-0.0734019424371
0.0147,-0.0733868555778
0.0148,-0.0733718968383
0.0149,-0.0733570496057
0.015,-0.0733423117352
0.0151,-0.0733277053419
0.0152,-0.0733132075034
0.0153,-0.0732988284143
0.0154,-0.0732845586604
0.0155,-0.0732704216241
0.0156,-0.0732564018435
0.0157,-0.0732425037394
0.0158,-0.0732287150363
0.0159,-0.0732150487607
0.016,-0.0732015003311
0.0161,-0.0731880765581
0.0162,-0.0731747743014
0.0163,-0.0731615956369
0.0164,-0.0731485445012
0.0165,-0.0731356059299
0.0166,-0.0731227913128
0.0167,-0.0731100967979
0.0168,-0.0730975398876
0.0169,-0.07308510347
0.017,-0.0730727747743
0.0171,-0.0730605872858
0.0172,-0.0730485162311
0.0173,-0.0730365605342
0.0174,-0.073024739022
0.0175,-0.0730130356871
0.0176,-0.0730014485124
0.0177,-0.0729899879282
0.0178,-0.0729786614723
0.0179,-0.0729674585704
0.018,-0.0729563704756
0.0181,-0.0729453945432
0.0182,-0.0729345387642
0.0183,-0.0729238020113
0.0184,-0.0729131923271
0.0185,-0.072902688651
0.0186,-0.0728923073467
0.0187,-0.0728820532749
0.0188,-0.0728719155554
0.0189,-0.0728618899305
0.019,-0.0728520019015
0.0191,-0.0728422231244
0.0192,-0.0728325546371
0.0193,-0.0728229951558
0.0194,-0.07281357151
0.0195,-0.0728042540099
0.0196,-0.0727950512577
0.0197,-0.0727859781129
0.0198,-0.0727770184397
0.0199,-0.0727681770731
0.02,-0.072446005447
0.0201,-0.0718178939368
0.0202,-0.0711987677357
0.0203,-0.0705878271458
0.0204,-0.0699843706925
0.0205,-0.069387686592
0.0206,-0.0687969901355
0.0207,-0.0682114145104
0.0208,-0.0676299500571
0.0209,-0.0670514247884
0.021,-0.0664744912583
0.0211,-0.0658975153367
0.0212,-0.0653185728717
0.0213,-0.0647353111663
0.0214,-0.0641448972419
0.0215,-0.0635439038238
0.0216,-0.0629280124376
0.0217,-0.0622918943605
0.0218,-0.0616287302199
0.0219,-0.0609297323984
0.022,-0.0601833126379
0.0221,-0.0593738252277
0.0222,-0.0584796199364
0.0223,-0.0574696978233
0.0224,-0.0562980611474
0.0225,-0.0548933439424
0.0226,-0.0531388279506
0.0227,-0.0508306261982
0.0228,-0.0475823723863
0.0229,-0.0425856070249
0.023,-0.0339471079247
0.0231,-0.016932523533
0.0232,0.0158849008214
0.0233,0.0436360643515
0.0234,0.0456489404941
0.0235,0.0439597478147
0.0236,0.0414414742663
0.0237,0.0382140713871
0.0238,0.0343924718028
0.0239,0.0301067301965
0.024,0.0254890689812
0.0241,0.0206608703491
0.0242,0.0157248047208
0.0243,0.0107617636465
0.0244,0.00583110013319
0.0245,0.000972899781265
0.0246,-0.00378891647634
0.0247,-0.00844359280979
0.0248,-0.012991099885
0.0249,-0.0174407725144
0.025,-0.0218136283932
0.0251,-0.0261455210835
0.0252,-0.0304980665524
0.0253,-0.0349700323282
0.0254,-0.0397106447684
0.0255,-0.0449278396713
0.0256,-0.0508456593398
0.0257,-0.0575286274333
0.0258,-0.0644493494714
0.0259,-0.0702294325863
0.026,-0.0737429126774
0.0261,-0.0753356854175
0.0262,-0.0759388337957
0.0263,-0.0761423378532
0.0264,-0.0761963715831
0.0265,-0.0761939838605
0.0266,-0.0761690743338
0.0267,-0.0761342128512
0.0268,-0.0760941991662
0.0269,-0.0760509524626
0.027,-0.0760052258138
0.0271,-0.075957347651
0.0272,-0.0759074141303
0.0273,-0.0758554619927
0.0274,-0.0758014947414
0.0275,-0.0757454875346
0.0276,-0.0756873799365
0.0277,-0.0756271596176
0.0278,-0.0755647976296
0.0279,-0.0755002491116
0.028,-0.0754334650558
0.0281,-0.0753644583596
0.0282,-0.0752931630201
0.0283,-0.0752195872865
0.0284,-0.0751436703893
0.0285,-0.0750654173273
0.0286,-0.0749847964781
0.0287,-0.0749018017867
0.0288,-0.0748163921634
0.0289,-0.0747285954421
0.029,-0.0746383699767
0.0291,-0.0745457512402
0.0292,-0.0744507303082
0.0293,-0.0743532840952
0.0294,-0.0742534550774
0.0295,-0.0741512282914
0.0296,-0.0740466164212
0.0297,-0.0739396586075
0.0298,-0.0738303748314
0.0299,-0.0737187585965
0.03,-0.0736048672088
0.0301,-0.0734887229885
0.0302,-0.0733703872188
0.0303,-0.0732498767057
0.0304,-0.0731272381277
0.0305,-0.0730025048709
0.0306,-0.0728757222934
0.0307,-0.0727469452905
0.0308,-0.0726162572592
0.0309,-0.0724836775518
0.031,-0.0723492854136
0.0311,-0.0722131516924
0.0312,-0.0720753089054
0.0313,-0.0719358506505
0.0314,-0.0717948177712
0.0315,-0.0716523140686
0.0316,-0.0715084120492
0.0317,-0.0713631642808
0.0318,-0.0712166458745
0.0319,-0.0710689296451
0.032,-0.07092011385
0.0321,-0.0707702624094
0.0322,-0.0706194259141
0.0323,-0.0704677061262
0.0324,-0.0703151704278
0.0325,-0.0701619017877
0.0326,-0.0700079972574
0.0327,-0.0698535213821
0.0328,-0.069698526141
0.0329,-0.0695430898836
0.033,-0.0693873094482
0.0331,-0.0692312223324
0.0332,-0.0690749275557
0.0333,-0.0689184805059
0.0334,-0.0687619530725
0.0335,-0.0686053859934
0.0336,-0.0684488705563
0.0337,-0.0682924557542
0.0338,-0.0681362073247
0.0339,-0.0679801730249
0.034,-0.0678244101363
0.0341,-0.0676689590061
0.0342,-0.0675138869528
0.0343,-0.0673592119682
0.0344,-0.0672049942323
0.0345,-0.067051285848
0.0346,-0.0668981079643
0.0347,-0.0667454896214
0.0348,-0.0665934603448
0.0349,-0.0664420581741
0.035,-0.0662913042104
0.0351,-0.0661412043736
0.0352,-0.0659917998994
0.0353,-0.0658431118643
0.0354,-0.0656951458621
0.0355,-0.0655479083332
0.0356,-0.0654013909174
0.0357,-0.0652556115022
0.0358,-0.0651105792505
0.0359,-0.0649663039471
0.036,-0.0648227682627
0.0361,-0.0646799595252
0.0362,-0.0645378757905
0.0363,-0.0643965082322
0.0364,-0.064255837782
0.0365,-0.0641158535344
0.0366,-0.0639765246696
0.0367,-0.0638378267732
0.0368,-0.0636997385115
0.0369,-0.0635622402019
0.037,-0.0634252825365
0.0371,-0.0632888363682
0.0372,-0.0631528751609
0.0373,-0.0630173600464
0.0374,-0.0628822535698
0.0375,-0.0627474795052
0.0376,-0.0626129874231
0.0377,-0.0624787385676
0.0378,-0.0623446553537
0.0379,-0.0622106768444
0.038,-0.0620767279847
0.0381,-0.0619427594642
0.0382,-0.0618086640333
0.0383,-0.0616743410879
0.0384,-0.0615396720926
0.0385,-0.0614045764865
0.0386,-0.0612689120199
0.0387,-0.0611325516063
0.0388,-0.0609953721652
0.0389,-0.0608571661317
0.039,-0.0607177811903
0.0391,-0.060576969787
0.0392,-0.0604345297199
0.0393,-0.0602901918666
0.0394,-0.0601436663488
0.0395,-0.0599946379329
0.0396,-0.0598427207153
0.0397,-0.0596874628184
0.0398,-0.0595283752305
0.0399,-0.0593648741506
0.04,-0.0591962853086
0.0401,-0.0590218525533
0.0402,-0.0588406477805
0.0403,-0.0586515746013
0.0404,-0.0584533121397
0.0405,-0.0582443276147
0.0406,-0.0580227580595
0.0407,-0.057786313739
0.0408,-0.0575321562675
0.0409,-0.0572567861478
0.041,-0.0569558205267
0.0411,-0.0566236552672
0.0412,-0.0562530177323
0.0413,-0.0558344335912
0.0414,-0.0553551774719
0.0415,-0.0547979045411
0.0416,-0.0541383261056
0.0417,-0.0533415327624
0.0418,-0.0523555587249
0.0419,-0.0511000650046
0.042,-0.0494449337886
0.0421,-0.0471673364067
0.0422,-0.043860777882
0.0423,-0.0387305744311
0.0424,-0.0301414897642
0.0425,-0.0149393822125
0.0426,0.00941711355312
0.0427,0.0311864530077
0.0428,0.036528628088
0.0429,0.034692105223
0.043,0.0310739843266
0.0431,0.0266121094544
0.0432,0.0216573512032
0.0433,0.016443268608
0.0434,0.0111355464232
0.0435,0.00584719580458
0.0436,0.000649778708229
0.0437,-0.00441650320936
0.0438,-0.00933427616891
0.0439,-0.0141027963711
0.044,-0.0187345419657
0.0441,-0.0232558588624
0.0442,-0.0277124331484
0.0443,-0.0321777129552
0.0444,-0.0367666492667
0.0445,-0.0416444331812
0.0446,-0.0470195251563
0.0447,-0.0530688548474
0.0448,-0.0597067481208
0.0449,-0.06618189934
0.045,-0.0711754735797
0.0451,-0.0740449399911
0.0452,-0.0753474431891
0.0453,-0.0758648792958
0.0454,-0.0760515487297
0.0455,-0.0761048884007
0.0456,-0.0761034254123
0.0457,-0.0760782049438
0.0458,-0.0760417218555
0.0459,-0.0759991779147
0.046,-0.0759528254332
0.0461,-0.0759036207522
0.0462,-0.075852008537
0.0463,-0.0757981699269
0.0464,-0.0757421825404
0.0465,-0.0756840370552
0.0466,-0.0756237437532
0.0467,-0.075561291324
0.0468,-0.0754966393006
0.0469,-0.0754297626207
0.047,-0.0753606337679
0.0471,-0.0752892516965
0.0472,-0.0752155590649
0.0473,-0.075139532288
0.0474,-0.0750611559811
0.0475,-0.0749804139895
0.0476,-0.0748972878448
0.0477,-0.0748117668418
0.0478,-0.0747238439309
0.0479,-0.0746335092246
0.048,-0.0745407624746
0.0481,-0.0744456149855
0.0482,-0.0743480604779
0.0483,-0.0742481077775
0.0484,-0.0741457598042
0.0485,-0.0740410378654
0.0486,-0.073933966161
0.0487,-0.0738245803053
0.0488,-0.0737128728268
0.0489,-0.0735988834935
0.049,-0.0734826539249
0.0491,-0.0733642332214
0.0492,-0.0732436371169
0.0493,-0.0731209107761
0.0494,-0.0729960901448
0.0495,-0.0728692441703
0.0496,-0.0727404086803
0.0497,-0.0726096649358
0.0498,-0.0724770281885
0.0499,-0.072342591873
0.05,-0.0722064071914
0.0501,-0.0720685384194
0.0502,-0.0719290593622
0.0503,-0.071788028672
0.0504,-0.0716455239181
0.0505,-0.0715016384387
0.0506,-0.0713563898133
0.0507,-0.0712098963275
0.0508,-0.0710622193819
0.0509,-0.0709134368422
0.051,-0.0707636190547
0.0511,-0.0706128406067
0.0512,-0.0704611866628
0.0513,-0.0703087404512
0.0514,-0.0701555544252
0.0515,-0.0700017431376
0.0516,-0.0698473760259
0.0517,-0.0696925046495
0.0518,-0.0695372291869
0.0519,-0.0693815968774
0.052,-0.0692256937653
0.0521,-0.0690695836991
0.0522,-0.0689133192651
0.0523,-0.0687569922213
0.0524,-0.0686006702444
0.0525,-0.0684444010572
0.0526,-0.0682882535718
0.0527,-0.0681322840788
0.0528,-0.0679765464602
0.0529,-0.0678210995976
0.053,-0.0676659742578
0.0531,-0.0675112458346
0.0532,-0.0673569299295
0.0533,-0.0672031018833
0.0534,-0.0670497939676
0.0535,-0.0668970458234
0.0536,-0.066744878109
0.0537,-0.0665933158804
0.0538,-0.0664424062323
0.0539,-0.0662921728445
0.054,-0.0661426283313
0.0541,-0.0659938014489
0.0542,-0.0658457223112
0.0543,-0.0656983900537
0.0544,-0.0655518056256
0.0545,-0.0654059925508
0.0546,-0.0652609488585
0.0547,-0.0651166832339
0.0548,-0.064973202518
0.0549,-0.0648304894787
0.055,-0.0646885634385
0.0551,-0.0645474028461
0.0552,-0.0644069960696
0.0553,-0.0642673333182
0.0554,-0.0641284029037
0.0555,-0.0639901899244
0.0556,-0.0638526645334
0.0557,-0.0637158070053
0.0558,-0.0635795913756
0.0559,-0.0634439885904
0.056,-0.0633089664484
0.0561,-0.0631744970417
0.0562,-0.0630405598951
0.0563,-0.0629071143306
0.0564,-0.0627741042728
0.0565,-0.0626414739182
0.0566,-0.0625091910559
0.0567,-0.0623771845535
0.0568,-0.0622454291201
0.0569,-0.0621138366334
0.057,-0.0619823538849
0.0571,-0.0618509225635
0.0572,-0.0617194411922
0.0573,-0.0615878150782
0.0574,-0.0614559688331
0.0575,-0.0613237947608
0.0576,-0.0611911838545
0.0577,-0.0610580238174
0.0578,-0.0609241834364
0.0579,-0.060789499197
0.058,-0.0606538160508
0.0581,-0.0605169215773
0.0582,-0.0603786408044
0.0583,-0.0602387246108
0.0584,-0.0600969397296
0.0585,-0.0599529833991
0.0586,-0.0598065154057
0.0587,-0.0596571614507
0.0588,-0.0595044796333
0.0589,-0.0593479565187
0.059,-0.0591870216098
0.0591,-0.0590210098925
0.0592,-0.0588491516555
0.0593,-0.0586704841669
0.0594,-0.0584839200652
0.0595,-0.0582881375585
0.0596,-0.0580815775421
0.0597,-0.0578623414695
0.0598,-0.057628085682
0.0599,-0.0573759580607
0.06,-0.0571024067101
0.0601,-0.0568029543055
0.0602,-0.0564718798581
0.0603,-0.0561018017146
0.0604,-0.0556830024713
0.0605,-0.0552024875189
0.0606,-0.054642474964
0.0607,-0.0539780448351
0.0608,-0.0531733197117
0.0609,-0.0521747921093
0.061,-0.050899541373
0.0611,-0.0492129516958
0.0612,-0.0468839250985
0.0613,-0.0434897678654
0.0614,-0.0382032996099
0.0615,-0.0293294008136
0.0616,-0.0136769377246
0.0617,0.0108205883058
0.0618,0.0315416149152
0.0619,0.0361967437003
0.062,0.0342005223825
0.0621,0.0304936976967
0.0622,0.0259646376372
0.0623,0.0209615565095
0.0624,0.0157161426245
0.0625,0.0103913306119
0.0626,0.0050968600592
0.0627,-9.87741152175e-05
0.0628,-0.00515809344134
0.0629,-0.0100660032839
0.063,-0.0148236220488
0.0631,-0.0194454837248
0.0632,-0.0239607415203
0.0633,-0.0284181664277
0.0634,-0.0328979409488
0.0635,-0.0375213842491
0.0636,-0.0424622557181
0.0637,-0.0479308583135
0.0638,-0.0540831790794
0.0639,-0.0607553967944
0.064,-0.0670754514682
0.0641,-0.0717394227088
0.0642,-0.0743119999742
0.0643,-0.0754524664452
0.0644,-0.0759006281081
0.0645,-0.076059949199
0.0646,-0.0761023976697
0.0647,-0.0760963848718
0.0648,-0.0760690397046
0.0649,-0.0760314056067
0.065,-0.075988125649
0.0651,-0.0759411857148
0.0652,-0.0758914482695
0.0653,-0.0758393353827
0.0654,-0.0757849918921
0.0655,-0.0757285033603
0.0656,-0.0756698564528
0.0657,-0.0756090753888
0.0658,-0.0755460990281
0.0659,-0.0754809290913
0.066,-0.0754135267536
0.0661,-0.0753438671069
0.0662,-0.0752719196606
0.0663,-0.0751976609526
0.0664,-0.0751210678845
0.0665,-0.0750421251443
0.0666,-0.074960811444
0.0667,-0.0748771139063
0.0668,-0.074791018993
0.0669,-0.0747025292001
0.067,-0.0746116230832
0.0671,-0.0745183134614
0.0672,-0.0744225882516
0.0673,-0.0743244694391
0.0674,-0.074223968512
0.0675,-0.0741210513622
0.0676,-0.0740157751275
0.0677,-0.0739081442588
0.0678,-0.0737982042921
0.0679,-0.0736859385678
0.068,-0.0735714173693
0.0681,-0.0734546539171
0.0682,-0.0733357171126
0.0683,-0.0732146058816
0.0684,-0.0730913767816
0.0685,-0.0729660721333
