time,soma
52.6047 ,-66.3496
53.3604 ,-65.1565
54.1161 ,-63.9529
54.8718 ,-62.7454
55.6275 ,-61.5269
56.0781 ,-60.7858
56.5286 ,-60.0206
56.9791 ,-59.2142
57.2669 ,-58.6625
57.5546 ,-58.0655
57.8424 ,-57.4047
58.1302 ,-56.6446
58.3017 ,-56.1226
58.4732 ,-55.5266
58.6447 ,-54.8268
58.8161 ,-53.9772
58.9145 ,-53.3971
59.0128 ,-52.7241
59.1111 ,-51.927
59.2095 ,-50.9638
59.2691 ,-50.2732
59.3287 ,-49.4774
59.3883 ,-48.5497
59.4479 ,-47.4519
59.5075 ,-46.1339
59.5442 ,-45.1844
59.5808 ,-44.1024
59.6175 ,-42.8598
59.6542 ,-41.4201
59.6908 ,-39.738
59.7275 ,-37.755
59.7642 ,-35.3953
59.7861 ,-33.7617
59.8081 ,-31.9331
59.8301 ,-29.8813
59.8521 ,-27.5752
59.874  ,-24.9805
59.896  ,-22.0622
59.918  ,-18.7868
59.94   ,-15.1279
59.9619 ,-11.0712
59.9839 ,-6.6266
59.9962 ,-3.97882
60.0085 ,-1.23682
60.0209 ,1.58035
60.0332 ,4.44854
60.0455 ,7.33864
60.0578 ,10.2174
60.0701 ,13.0488
60.0825 ,15.7959
60.0948 ,18.4225
60.1071 ,20.8959
60.1194 ,23.1884
60.1317 ,25.2782
60.1441 ,27.1516
60.1564 ,28.8021
60.1687 ,30.2305
60.181  ,31.4438
60.1933 ,32.4536
60.2056 ,33.275
60.218  ,33.9252
60.2303 ,34.4218
60.2426 ,34.7827
60.2549 ,35.0246
60.2672 ,35.1627
60.2796 ,35.2108
60.2919 ,35.1811
60.3042 ,35.084
60.3165 ,34.9283
60.3288 ,34.7217
60.3412 ,34.4703
60.3535 ,34.1797
60.3658 ,33.8543
60.3781 ,33.4979
60.3904 ,33.1138
60.4028 ,32.7049
60.4151 ,32.2736
60.4274 ,31.822
60.4397 ,31.3519
60.452  ,30.8649
60.4644 ,30.3625
60.4767 ,29.8459
60.489  ,29.3161
60.5013 ,28.7742
60.5136 ,28.2209
60.526  ,27.6572
60.5383 ,27.0838
60.5506 ,26.5013
60.5629 ,25.9106
60.5752 ,25.3121
60.5875 ,24.7066
60.5999 ,24.0947
60.6122 ,23.4769
60.6313 ,22.5085
60.6504 ,21.5291
60.6695 ,20.5403
60.6886 ,19.5437
60.7077 ,18.5406
60.7268 ,17.5322
60.7459 ,16.5198
60.7796 ,14.7258
60.8326 ,11.9031
60.8855 ,9.08682
60.9384 ,6.28995
60.9914 ,3.52201
61.0443 ,0.791524
61.0972 ,-1.896
61.1502 ,-4.53733
61.2031 ,-7.13063
61.256  ,-9.67504
61.309  ,-12.1706
61.3619 ,-14.6185
61.4148 ,-17.0209
61.4983 ,-20.7249
61.5818 ,-24.34
61.6653 ,-27.891
61.7488 ,-31.4147
61.8323 ,-34.9587
61.9158 ,-38.5878
61.9993 ,-42.3793
62.0827 ,-46.4172
62.1396 ,-49.3398
62.1964 ,-52.4054
62.2532 ,-55.5827
62.3101 ,-58.8007
62.3669 ,-61.943
62.4238 ,-64.8595
62.4601 ,-66.5347
62.4965 ,-68.0268
62.5328 ,-69.3217
62.5692 ,-70.4196
62.6055 ,-71.3313
62.6419 ,-72.0757
62.6782 ,-72.6759
62.7146 ,-73.1552
62.7509 ,-73.5354
62.7873 ,-73.8351
62.8237 ,-74.0698
62.86   ,-74.2523
62.8964 ,-74.3928
62.9327 ,-74.4996
62.9691 ,-74.5794
63.0054 ,-74.6373
63.0418 ,-74.6779
63.0781 ,-74.7044
63.1145 ,-74.7199
63.1508 ,-74.7266
63.1872 ,-74.7264
63.2236 ,-74.7208
63.2599 ,-74.7109
63.3161 ,-74.6895
63.3723 ,-74.6626
63.4286 ,-74.6319
63.4848 ,-74.5985
63.5914 ,-74.5301
63.6981 ,-74.4571
63.7737 ,-74.404
63.8494 ,-74.35
63.9251 ,-74.295
64.0008 ,-74.2389
64.1168 ,-74.1508
64.2329 ,-74.0605
64.3489 ,-73.9685
64.4649 ,-73.8751
64.5809 ,-73.7798
64.6969 ,-73.6824
64.8129 ,-73.5829
65.0164 ,-73.4034
65.2198 ,-73.2177
65.4232 ,-73.0262
65.6267 ,-72.8286
65.8301 ,-72.6247
66.2838 ,-72.147
66.7374 ,-71.637
67.1911 ,-71.095
67.6447 ,-70.5222
68.0984 ,-69.9202
68.552  ,-69.2914
69.3055 ,-68.1963
70.059  ,-67.0519
70.8125 ,-65.8757
71.5661 ,-64.684
72.3196 ,-63.488
73.0731 ,-62.2881
73.8266 ,-61.0702
74.5801 ,-59.7954
75.0989 ,-58.8419
75.6177 ,-57.7579
75.949  ,-56.9426
76.2803 ,-55.9527
76.4987 ,-55.1442
76.717  ,-54.1294
76.8674 ,-53.2451
77.0179 ,-52.1249
77.1684 ,-50.6354
77.2594 ,-49.4629
77.3503 ,-47.9803
77.4413 ,-46.0387
77.5002 ,-44.4288
77.5591 ,-42.4256
77.6181 ,-39.8763
77.677  ,-36.5545
77.715  ,-33.8568
77.7529 ,-30.5818
77.7909 ,-26.5788
77.8289 ,-21.6736
77.8668 ,-15.6989
77.8902 ,-11.432
77.9136 ,-6.7235
77.937  ,-1.62536
77.9604 ,3.75205
77.9838 ,9.23257
78.0072 ,14.5864
78.0227 ,17.9461
78.0382 ,21.0712
78.0537 ,23.9058
78.0693 ,26.4103
78.0848 ,28.5643
78.1003 ,30.3655
78.1159 ,31.8279
78.1314 ,32.9765
78.1469 ,33.8438
78.1624 ,34.465
78.178  ,34.8751
78.1935 ,35.1066
78.209  ,35.1883
78.2245 ,35.1451
78.2401 ,34.9976
78.2556 ,34.7626
78.2711 ,34.4538
78.2867 ,34.0823
78.3022 ,33.6569
78.3177 ,33.185
78.3332 ,32.6726
78.3488 ,32.1247
78.3643 ,31.5453
78.3798 ,30.938
78.3953 ,30.3058
78.4109 ,29.6511
78.4264 ,28.976
78.4419 ,28.2824
78.4575 ,27.5719
78.473  ,26.8461
78.4885 ,26.1064
78.504  ,25.3542
78.5196 ,24.5907
78.5351 ,23.817
78.5506 ,23.0344
78.5661 ,22.2439
78.5817 ,21.4463
78.6055 ,20.211
78.6293 ,18.9641
78.6531 ,17.7083
78.677  ,16.4458
78.7199 ,14.1607
78.7628 ,11.871
78.7938 ,10.2177
78.8249 ,8.56959
78.8559 ,6.9289
78.887  ,5.2977
78.918  ,3.67778
